paper_id,page_count,chinese_chars,english_words,total_chars,logical_connectors,modeling_terms,references,equations,section_count,sentence_count,avg_sentence_length,std_sentence_length,terminology_richness,chars_per_page,logical_density,formula_density,ref_density,model_term_density,ai_repetition_ratio,ai_burstiness,ai_para_uniformity
A1_13,13,7029,111,9178,60,105,16,2,104,347,25.138328530259365,14.234082593994044,0.8398576512455516,540.6923076923077,8.536064874093043,0.15384615384615385,1.2307692307692308,14.938113529662825,0.007246376811594203,0.5196148857972258,0.39572592535367174
A1_14,33,9869,478,15027,112,177,14,11,224,620,22.724193548387095,13.825282887893504,0.8868071818891491,299.06060606060606,11.34866754483737,0.3333333333333333,0.42424242424242425,17.93494781639477,0.03463203463203463,0.5991473166597467,0.33294582175530313
A1_15,46,18967,804,27753,200,175,36,59,327,1038,25.128131021194605,13.687186481190626,0.8807495741056218,412.32608695652175,10.54463014709759,1.2826086956521738,0.782608695652174,9.226551378710392,0.02751196172248804,0.5387809835922056,0.31497376696391205
A1_16,21,8680,130,12569,105,117,12,12,370,534,22.082397003745317,12.080284998299536,0.8611361587015329,413.3333333333333,12.096774193548388,0.5714285714285714,0.5714285714285714,13.47926267281106,0.014457831325301205,0.5400693358495053,0.42942780117745105
A1_17,35,8249,189,12906,62,249,16,56,246,548,21.8521897810219,12.886579009284167,0.8202898550724638,235.68571428571428,7.516062553036731,1.6,0.45714285714285713,30.185477027518484,0.03365384615384615,0.5791756099216998,0.8294338547360522
A1_18,15,6338,411,10737,59,193,0,18,511,454,22.037444933920703,12.862571066501454,0.876979293544458,422.53333333333336,9.308930261912275,1.2,0.0,30.45124644998422,0.025787965616045846,0.5727029712443776,0.31460424984935176
A1_19,11,4536,113,7233,37,63,10,9,420,307,22.140065146579804,12.061862421582711,0.8904347826086957,412.3636363636364,8.156966490299824,0.8181818181818182,0.9090909090909091,13.88888888888889,0.05220883534136546,0.543584287113265,0.3615960202623841
A1_20,13,5888,181,8851,57,108,22,21,262,330,25.25151515151515,14.150931465478854,0.844059405940594,452.9230769230769,9.68070652173913,1.6153846153846154,1.6923076923076923,18.342391304347828,0.007662835249042145,0.5512609181513722,0.18420227929000868
A1_21,38,8822,343,14621,82,182,20,47,429,688,19.59738372093023,10.734065752252894,0.8469809760132341,232.1578947368421,9.294944457039222,1.236842105263158,0.5263157894736842,20.630242575379736,0.055226824457593686,0.5377352470646611,0.3641059469341242
A1_22,20,6700,340,11529,80,85,0,12,464,440,24.547727272727272,13.511190456876237,0.8453237410071942,335.0,11.940298507462686,0.6,0.0,12.686567164179104,0.019230769230769232,0.5384373124507348,0.4608904670576125
A1_23,19,6938,88,10253,57,79,1,15,466,411,23.19221411192214,11.54572155989327,0.7849588719153937,365.1578947368421,8.215624099164025,0.7894736842105263,0.05263157894736842,11.386566733929087,0.08459214501510574,0.5007309748139233,0.32004608614638447
